player_id,first_name,last_name,country,age,born,turned_pro,college,birthplace
33293,Thomas,Pieters,Belgium,34,"January 27, 1992",2013,University of Illinois,"Antwerp, Belgium"
33448,Justin,Thomas,United States,33,-,2013,University of Alabama,"Louisville, KY"
33674,Adrian,Meronk,Poland,31,"May 31, 1993",-,East Tennessee State University,"Hamburg, Germany"
34046,Jordan,Spieth,United States,32,"July 27, 1993",2012,University of Texas,"Dallas, TX"
34098,Russell,Henley,United States,37,"April 12, 1989",2011,University of Georgia,"Macon, GA"
34099,Harris,English,United States,36,"July 23, 1989",2011,University of Georgia,"Valdosta, GA"
34360,Patrick,Reed,United States,35,"August 05, 1990",2011,Augusta University,"San Antonio, TX"
34363,Tyrrell,Hatton,England,34,"October 14, 1991",2011,-,"High Wycombe, Buckinghamshire, England"
35450,Patrick,Cantlay,United States,34,"March 17, 1992",2012,UCLA,"Long Beach, CA"
35506,Mackenzie,Hughes,Canada,35,"November 23, 1990",2013,Kent State University,"Hamilton, Ontario, Canada"
35532,Tom,Hoge,United States,37,"May 25, 1989",2011,Texas Christian University,"Statesville, NC"
35778,Kazuki,Higa,Japan,31,"April 23, 1995",-,-,-
35891,Cameron,Smith,Australia,32,"August 18, 1993",2013,-,"Brisbane, Australia"
36689,Brooks,Koepka,United States,36,"May 03, 1990",2012,Florida State University,"West Palm Beach, FL"
37189,Harold,Varner III,United States,35,"August 15, 1990",2012,East Carolina University,"Akron, OH"
37378,Min Woo,Lee,Australia,27,"July 27, 1998",2019,-,"Perth, Australia"
37455,Si Woo,Kim,Republic of Korea,30,"June 28, 1995",2012,Yonsei University,"Seoul, South Korea"
39546,Keith,Mitchell,United States,34,"January 07, 1992",2014,University of Georgia,"Chattanooga, TN"
39971,Sungjae,Im,Republic of Korea,28,"March 30, 1998",2015,Korea National Sport University,"Cheongju, South Korea"
39977,Max,Homa,United States,35,"November 19, 1990",2013,University of California-Berkeley,"Burbank, CA"
39997,Corey,Conners,Canada,34,"January 06, 1992",2015,Kent State University,"Listowel, Ontario, Canada"
40098,Matt,Fitzpatrick,England,31,"September 01, 1994",2014,Northwestern University,"Sheffield, England"
40115,Adam,Svensson,Canada,32,"December 31, 1993",2015,Barry University,"Surrey, British Columbia, Canada"
45486,Joaquin,Niemann,Chile,27,"November 07, 1998",2018,-,"Santiago, Chile"
45526,Abraham,Ancer,Mexico,35,"February 27, 1991",2013,University of Oklahoma,"McAllen, TX"
46046,Scottie,Scheffler,United States,29,"June 21, 1996",2018,University of Texas,"Ridgewood, NJ"
46402,Talor,Gooch,United States,34,"November 14, 1991",2014,Oklahoma State University Education,"Midwest City, OK"
46717,Viktor,Hovland,Norway,28,"September 18, 1997",2019,Oklahoma State University,"Oslo, Norway"
46970,Jon,Rahm,Spain,31,"November 10, 1994",2016,Arizona State University,"Barrika, Spain"
47483,Will,Zalatoris,United States,29,"August 16, 1996",2018,Wake Forest University,"San Francisco, CA"
47504,Sam,Burns,United States,29,"July 23, 1996",2017,Louisiana State University,"Shreveport, LA"
47529,Mito,Pereira,Chile,31,"March 31, 1995",2015,Texas Tech University,"Santiago, Chile"
47959,Bryson,DeChambeau,United States,32,"September 16, 1993",2016,Southern Methodist University,"Modesto, CA"
48081,Xander,Schauffele,United States,32,"October 25, 1993",2015,San Diego State University,"La Jolla, CA"
48117,Kurt,Kitayama,United States,33,"January 14, 1993",2015,University of Nevada-Las Vegas,"Chico, CA"
49771,J.T.,Poston,United States,32,"June 01, 1993",2015,Western Carolina University,"Hickory, NC"
49947,Taylor,Moore,United States,32,"July 28, 1993",2016,University of Arkansas,"San Angelo, TX"
49960,Sepp,Straka,Austria,33,"May 01, 1993",2016,University of Georgia,"Vienna, Austria"
50525,Collin,Morikawa,United States,29,"February 06, 1997",2019,University of California-Berkeley,"Los Angeles, CA"
51634,Sahith,Theegala,United States,28,"December 04, 1997",2020,Pepperdine University,"Orange, CA"
52372,Cameron,Champ,United States,30,"June 15, 1995",2017,Texas A&M University,"Sacramento, CA"
54278,Mateo,Fernández de Oliveira,Argentina,26,"January 16, 2000",2023,University of Arkansas,"Buenos Aires, Argentina"
54288,Harrison,Crowe,Australia,-,-,-,-,-
55182,Tom,Kim,Republic of Korea,23,"June 21, 2002",2018,-,"Seoul, South Korea"
57366,Cameron,Young,United States,29,"May 07, 1997",2019,Wake Forest University,"Scarborough, NY"
57736,Matthew,McClean,Northern Ireland,30,"June 07, 1993",-,-,-
59652,Sam,Bennett,United States,26,-,2023,Texas A&M University,"Huntsville, TX"
60006,Ben,Carr,United States,25,-,2023,Georgia Southern University,"Columbus, GA"
63343,Aldrich,Potgieter,South Africa,21,-,2023,-,"Pretoria, South Africa"
64442,Gordon,Sargent,United States,23,-,2025,Vanderbilt University,-
